No.;Ticker;Company;Sector;Industry;Country;Market Cap;Dividend Yield;Performance (Week);Performance (Month);Performance (Year);Beta;Average True Range;52-Week High;52-Week Low;Price;Change;Volume;Date
1;A;Agilent Technologies Inc.;Technology;Scientific & Technical Instruments;USA;12426,65;0;-4,69%;1,47%;-13,61%;1,49;1,66;-35,32%;24,83%;35,79;-2,77%;4004888;22.11.2011
2;AA;Alcoa, Inc.;Basic Materials;Aluminum;USA;10078,92;1,27%;-8,77%;-7,16%;-37,94%;2,09;0,44;-48,38%;12,44%;9,47;-2,27%;33264502;22.11.2011
3;AAC;Australia Acquisition Corp.;Conglomerates;Conglomerates;Australia;79,93;0;0,10%;0,51%;1,97%;0,9;0,02;0,00%;2,40%;9,82;0,00%;0;22.11.2011
4;AACC;Asset Acceptance Capital Corp.;Financial;Credit Services;USA;87,74;0;-6,84%;-6,23%;-51,77%;1,93;0,21;-60,33%;2,14%;2,86;-3,05%;74389;22.11.2011
5;AADR;WCM/BNY Mellon Focused Growth ADR ETF;Financial;Exchange Traded Fund;USA;0;0,33%;-5,23%;-2,35%;-9,42%;0;0,36;-16,20%;9,71%;27,01;-2,70%;1998;22.11.2011
6;AAME;Atlantic American Corp.;Financial;Life Insurance;USA;42,11;0;3,87%;0,00%;-7,39%;1,04;0,11;-16,44%;49,21%;1,88;0,00%;5125;22.11.2011
7;AAN;Aaron's, Inc.;Services;Rental & Leasing Services;USA;1847,22;0,25%;-2,98%;-8,53%;20,02%;0,92;0,91;-16,63%;28,87%;24,46;-1,17%;362266;22.11.2011
8;AAON;AAON Inc.;Industrial Goods;General Building Materials;USA;501,42;1,18%;-5,22%;5,82%;8,82%;1;1,13;-16,01%;39,00%;20,35;-3,65%;35028;22.11.2011
9;AAP;Advance Auto Parts Inc.;Services;Auto Parts Stores;USA;4893,27;0,36%;-2,09%;7,34%;2,40%;0,48;1,6;-6,43%;36,58%;67,54;-0,60%;674006;22.11.2011
10;AAPL;Apple Inc.;Technology;Personal Computers;USA;342961,59;0;-2,70%;-6,07%;14,40%;1,22;8,89;-13,52%;20,89%;369,01;-1,58%;15839649;22.11.2011
11;AAT;American Assets Trust, Inc.;Financial;REIT - Office;USA;812,31;4,06%;3,92%;6,87%;0,19%;0;0,9;-10,04%;25,56%;20,68;-0,43%;402798;22.11.2011
12;AATI;Advanced Analogic Technologies, Inc.;Technology;Semiconductor - Specialized;USA;190,23;0;3,37%;-3,59%;7,23%;1,55;0,16;-29,51%;32,31%;4,3;2,38%;743533;22.11.2011
13;AAU;Almaden Minerals Ltd.;Basic Materials;Industrial Metals & Minerals;Canada;143,11;0;-10,51%;2,92%;-47,78%;1,01;0,16;-53,83%;17,06%;2,47;-3,89%;249362;22.11.2011
14;AAV;Advantage Oil & Gas Ltd.;Basic Materials;Oil & Gas Drilling & Exploration;Canada;808,08;0;-5,25%;-0,20%;-28,38%;1,95;0,25;-47,58%;36,80%;4,87;-5,07%;471378;22.11.2011
15;AAVX;UBS E-TRACS Dly Sh 1Mo S&P500 VIX Fu ETN;Financial;Exchange Traded Fund;USA;0;0;-5,84%;-18,13%;-29,93%;0;4,02;-31,75%;3,73%;67,88;-0,67%;1500;22.11.2011
16;AAWW;Atlas Air Worldwide Holdings Inc.;Services;Air Services, Other;USA;1003,61;0;1,87%;4,55%;-31,65%;2,42;2,27;-47,86%;29,36%;38,16;-2,63%;354993;22.11.2011
17;AAXJ;iShares MSCI All Country Asia ex Jpn Idx;Financial;Exchange Traded Fund;USA;1896,69;2,59%;-7,44%;-4,37%;-22,22%;0;1,41;-24,13%;10,71%;49,01;-3,60%;370527;22.11.2011
18;AB;AllianceBernstein Holding L.P.;Financial;Asset Management;USA;1380,88;10,97%;-0,45%;-6,68%;-39,18%;1,76;0,47;-41,55%;6,58%;13,13;-1,72%;485664;22.11.2011
19;ABAT;Advanced Battery Technologies, Inc.;Industrial Goods;Industrial Electrical Equipment;USA;74,62;0;-5,77%;-2,00%;-74,55%;1,22;0,05;-77,47%;24,05%;0,98;0,00%;0;22.11.2011
20;ABAX;Abaxis Inc.;Healthcare;Diagnostic Substances;USA;560,64;0;-3,11%;5,64%;-3,69%;1,17;0,98;-18,40%;31,40%;25,86;-2,27%;63802;22.11.2011
21;ABB;ABB Ltd.;Industrial Goods;Industrial Electrical Equipment;Switzerland;39952,41;3,96%;-5,58%;-9,54%;-21,26%;1,51;0,61;-36,29%;8,62%;17,26;-2,82%;2581807;22.11.2011
22;ABC;AmerisourceBergen Corporation;Services;Drugs Wholesale;USA;9887,23;1,42%;-5,99%;-7,20%;8,90%;0,73;0,97;-14,99%;21,77%;36,72;-1,50%;2266420;22.11.2011
23;ABCB;Ameris Bancorp;Financial;Regional - Mid-Atlantic Banks;USA;229,19;2,02%;-3,98%;0,52%;-8,44%;1,36;0,36;-13,84%;16,13%;9,65;-3,40%;52159;22.11.2011
24;ABCD;Cambium Learning Group, Inc.;Services;Education & Training Services;USA;142,62;0;-7,69%;-6,80%;-16,28%;2;0,19;-27,64%;16,13%;2,88;-4,64%;43436;22.11.2011
25;ABCO;Advisory Board Co.;Services;Business Services;USA;1114,96;0;-3,14%;9,17%;43,00%;0,52;2,23;-6,42%;49,99%;68,11;-1,02%;71407;22.11.2011
26;ABCS;Guggenheim ABC High Dividend;Financial;Exchange Traded Fund;USA;0;7,98%;-6,14%;-3,00%;-21,24%;0;0,43;-23,63%;12,42%;19,1;-2,60%;1325;22.11.2011
27;ABCW;Anchor BanCorp Wisconsin, Inc.;Financial;Savings & Loans;USA;4,77;0;-54,17%;-55,10%;-81,67%;2,26;0,05;-88,42%;0,00%;0,22;0,00%;0;22.11.2011
28;ABD;ACCO Brands Corporation;Consumer Goods;Office Supplies;USA;497,85;0;27,74%;58,38%;5,40%;3,85;0,49;-13,57%;107,39%;8,98;0,00%;599267;22.11.2011
29;ABFS;Arkansas Best Corporation;Services;Trucking;USA;461,88;0,66%;-12,85%;-1,46%;-33,37%;1,48;1,05;-37,18%;27,94%;18,17;-6,05%;504500;22.11.2011
30;ABG;Asbury Automotive Group, Inc.;Services;Auto Dealerships;USA;600,77;0;0,64%;-3,77%;2,33%;2,69;0,75;-14,05%;26,40%;18,91;-0,73%;275129;22.11.2011
31;ABH;Resolute Forest Products;Consumer Goods;Paper & Paper Products;Canada;1558,45;0;2,82%;6,15%;-32,19%;0;0,67;-47,45%;17,15%;16,05;-2,73%;393636;22.11.2011
32;ABIO;ARCA biopharma, Inc.;Healthcare;Biotechnology;USA;14,94;0;18,33%;15,45%;-55,21%;1,81;0,19;-62,63%;42,00%;1,42;9,23%;316735;22.11.2011
33;ABL;American Biltrite Inc.;Consumer Goods;Rubber & Plastics;USA;16,8;0;-2,79%;-14,56%;-30,63%;0,97;0,13;-57,47%;-1,02%;4,87;-2,21%;13115;22.11.2011
34;ABM;ABM Industries Inc.;Services;Business Services;USA;1073,52;2,78%;0,15%;1,51%;-21,43%;1,14;0,77;-24,28%;17,55%;20,16;-1,18%;279117;22.11.2011
